ljm391,pass ,leslie,manrique,ljm391@nyu.edu,11/10/2015
bchin93,pass,brandon ,chin,bchin93@gmail.com,11/11/2015
dicap1,pass,leonardo,dicaprio,dicap1@aol.com,11/12/2015
kuma,pass,tamaki,suoh,kuma@yahoo.com,11/13/2015
smash,pass,bruce,banner,smash@gmail.com,11/14/2015
spidey,pass,peter,parker,spidey@gmail.com,11/15/2015
popus,pass,barack ,obama,popus@yahoo.com,11/16/2015
becauseimbatman,pass,bruce,wayne,becauseimbatman@gmail.com,11/17/2015
daredevil,pass,Matt,Murdock,daredevil@microsoft.com,11/18/2015
antman,pass,Scott,Lang,antman@hotmail.com,11/19/2015
